Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Elijah Millsap,2015,2017,G-F,6-6,225.0,"August 12, 1987","Louisiana, UAB"
Paul Millsap,2007,2022,F,6-7,257.0,"February 10, 1985",Louisiana Tech
Shake Milton,2019,2024,G,6-5,205.0,"September 26, 1996",SMU
Justin Minaya,2023,2024,F,6-5,210.0,"March 26, 1999",
Yao Ming*,2003,2011,C,7-6,310.0,"September 12, 1980",
Josh Minott,2023,2024,F,6-8,205.0,"November 25, 2002",Memphis
Nikola Mirotić,2015,2019,F,6-10,250.0,"February 11, 1991",
Davion Mitchell,2022,2024,G,6-2,205.0,"September 5, 1998","Auburn, Baylor"
Donovan Mitchell,2018,2024,G,6-3,215.0,"September 7, 1996",Louisville
Tony Mitchell,2014,2014,F,6-6,216.0,"August 7, 1989",Alabama
Tony Mitchell,2014,2014,F,6-8,235.0,"April 7, 1992",University of North Texas
Naz Mitrou-Long,2018,2020,G,6-3,218.0,"August 3, 1993",Iowa State
Evan Mobley,2022,2024,F-C,6-11,215.0,"June 18, 2001",USC
Isaiah Mobley,2023,2024,F,6-8,240.0,"September 24, 1999",USC
Nazr Mohammed,1999,2016,C,6-10,221.0,"September 5, 1977",Kentucky
Adam Mokoka,2020,2021,G,6-4,190.0,"July 18, 1998",
Chima Moneke,2023,2023,F,6-6,222.0,"December 24, 1995","Northeast Community College, UC-Davis"
Malik Monk,2018,2024,G,6-3,200.0,"February 4, 1998",Kentucky
Greg Monroe,2011,2022,C-F,6-11,265.0,"June 4, 1990",Georgetown
Luis Montero,2016,2018,G,6-7,185.0,"April 6, 1993",Westchester CC
Moses Moody,2022,2024,G,6-6,205.0,"May 31, 2002",Arkansas
Jamario Moon,2008,2012,F,6-8,205.0,"June 13, 1980",Meridian Community College
Xavier Moon,2022,2024,G,6-2,165.0,"January 2, 1995","Northwest Florida State College, Morehead State University"
Matt Mooney,2020,2022,G,6-3,199.0,"February 7, 1996","Air Force, South Dakota, Texas Tech"
Ben Moore,2018,2018,F,6-8,220.0,"May 13, 1995",SMU
E'Twaun Moore,2012,2021,G-F,6-3,191.0,"February 25, 1989",Purdue
Mikki Moore,1999,2012,C-F,6-11,225.0,"November 4, 1975",Nebraska
Taze Moore,2024,2024,G,6-5,195.0,"June 29, 1998","Cal State-Bakersfield, Houston"
Wendell Moore Jr.,2023,2024,G-F,6-5,213.0,"September 18, 2001",Duke
Ja Morant,2020,2024,G,6-2,174.0,"August 10, 1999",Murray State
Eric Moreland,2015,2019,F-C,6-10,238.0,"December 24, 1991",Oregon State
Juwan Morgan,2020,2022,F,6-7,232.0,"April 17, 1997",Indiana
Darius Morris,2012,2015,G,6-4,190.0,"January 3, 1991",Michigan
Jaylen Morris,2018,2022,G,6-5,185.0,"September 19, 1995",Molloy
Marcus Morris,2012,2024,F,6-8,218.0,"September 2, 1989",Kansas
Markieff Morris,2012,2024,F,6-9,245.0,"September 2, 1989",Kansas
Monte Morris,2018,2024,G,6-2,183.0,"June 27, 1995",Iowa State
Anthony Morrow,2009,2017,G,6-5,210.0,"September 27, 1985",Georgia Tech
Donatas Motiejūnas,2013,2019,F-C,7-0,222.0,"September 20, 1990",
Johnathan Motley,2018,2020,F,6-8,230.0,"May 4, 1995",Baylor
Arnett Moultrie,2013,2014,F,6-11,249.0,"November 18, 1990","Texas-El Paso, Mississippi State"
Timofey Mozgov,2011,2018,C,7-1,275.0,"July 16, 1986",
Emmanuel Mudiay,2016,2022,G,6-3,200.0,"March 5, 1996",
Shabazz Muhammad,2014,2018,F-G,6-6,223.0,"November 13, 1992",UCLA
Mychal Mulder,2020,2022,G-F,6-3,184.0,"June 12, 1994","Vincennes University, Kentucky"
Byron Mullens,2010,2014,C-F,7-0,275.0,"February 14, 1989",Ohio State
Xavier Munford,2016,2018,G,6-2,180.0,"June 1, 1992",Rhode Island
Ade Murkey,2022,2022,G,6-5,200.0,"January 29, 1998",Denver
Erik Murphy,2014,2014,F,6-10,230.0,"October 26, 1990",Florida
Kevin Murphy,2013,2013,G,6-5,185.0,"March 6, 1990",Tennessee Technological University
Trey Murphy III,2022,2024,F,6-8,206.0,"June 18, 2000","Rice University, Virginia"
Troy Murphy,2002,2013,F-C,6-11,245.0,"May 2, 1980",Notre Dame
Dejounte Murray,2017,2024,G,6-5,180.0,"September 19, 1996",Washington
Jamal Murray,2017,2024,G,6-4,215.0,"February 23, 1997",Kentucky
Keegan Murray,2023,2024,F,6-8,215.0,"August 19, 2000",Iowa
Kris Murray,2024,2024,F,6-8,220.0,"August 19, 2000",Iowa
Toure' Murry,2014,2015,G-F,6-5,195.0,"November 8, 1989",Wichita State
Džanan Musa,2019,2020,G-F,6-9,217.0,"May 8, 1999",
Mike Muscala,2014,2024,F-C,6-10,240.0,"July 1, 1991",Bucknell
Svi Mykhailiuk,2019,2024,G-F,6-7,205.0,"June 10, 1997",Kansas
Hamady N'Diaye,2011,2014,C,7-0,235.0,"January 12, 1987",Rutgers University
Abdel Nader,2018,2022,F,6-5,225.0,"September 25, 1993","Northern Illinois, Iowa State"
Eduardo Nájera,2001,2012,F,6-8,240.0,"July 11, 1976",Oklahoma
Larry Nance Jr.,2016,2024,F-C,6-8,245.0,"January 1, 1993",Wyoming
Pete Nance,2024,2024,F,6-11,230.0,"February 19, 2000","Northwestern, UNC"
Shabazz Napier,2015,2020,G,6-0,175.0,"July 14, 1991",UConn
Steve Nash*,1997,2014,G,6-3,195.0,"February 7, 1974",Santa Clara
Maurice Ndour,2017,2017,F,6-9,200.0,"June 18, 1992",Ohio University
Gary Neal,2011,2017,G,6-4,210.0,"October 3, 1984","La Salle, Towson University"
Nemanja Nedović,2014,2014,G,6-3,192.0,"June 16, 1991",
Jameer Nelson,2005,2018,G,6-0,190.0,"February 9, 1982",Saint Joseph's
Andrew Nembhard,2023,2024,G,6-5,193.0,"January 16, 2000","Florida, Gonzaga"
RJ Nembhard Jr.,2022,2022,G,6-5,200.0,"March 22, 1999",TCU
Aaron Nesmith,2021,2024,G-F,6-5,215.0,"October 16, 1999",Vanderbilt
Raul Neto,2016,2023,G,6-1,180.0,"May 19, 1992",
Malik Newman,2020,2022,G,6-3,190.0,"February 21, 1997","Mississippi State, Kansas"
Georges Niang,2017,2024,F,6-7,230.0,"June 17, 1993",Iowa State
Andrew Nicholson,2013,2017,F,6-9,250.0,"December 8, 1989",St. Bonaventure
Daishen Nix,2022,2024,G,6-5,224.0,"February 13, 2002",
Zeke Nnaji,2021,2024,F,6-9,240.0,"January 9, 2001",Arizona
Joakim Noah,2008,2020,C,6-11,230.0,"February 25, 1985",Florida
Andrés Nocioni,2005,2012,F,6-7,225.0,"November 30, 1979",
Nerlens Noel,2015,2023,C-F,6-10,220.0,"April 10, 1994",Kentucky
Lucas Nogueira,2015,2018,C,7-0,241.0,"July 26, 1992",
Zach Norvell,2020,2020,G,6-5,206.0,"December 9, 1997",Gonzaga
Steve Novak,2007,2017,F,6-10,225.0,"June 13, 1983",Marquette
Jaylen Nowell,2020,2024,G,6-4,201.0,"July 9, 1999",Washington
Markquis Nowell,2024,2024,G,5-8,160.0,"December 25, 1999","Little Rock, Kansas State"
Dirk Nowitzki*,1999,2019,F-C,7-0,245.0,"June 19, 1978",
Frank Ntilikina,2018,2024,G,6-4,200.0,"July 28, 1998",
Kendrick Nunn,2020,2023,G,6-2,190.0,"August 3, 1995","Illinois, Oakland"
James Nunnally,2014,2021,F,6-7,208.0,"July 14, 1990",UC Santa Barbara
Jusuf Nurkić,2015,2024,C,7-0,290.0,"August 23, 1994",
David Nwaba,2017,2022,G,6-5,219.0,"January 14, 1993",Cal Poly
Jordan Nwora,2021,2024,F,6-8,225.0,"September 9, 1998",Louisville
J.J. O'Brien,2016,2016,F,6-7,228.0,"April 8, 1992",San Diego State
Johnny O'Bryant,2015,2018,F-C,6-9,257.0,"June 1, 1993",LSU
Jermaine O'Neal,1997,2014,C-F,6-11,226.0,"October 13, 1978",
Shaquille O'Neal*,1993,2011,C,7-1,325.0,"March 6, 1972",LSU
Royce O'Neale,2018,2024,F,6-4,226.0,"June 5, 1993","Denver, Baylor"
Kyle O'Quinn,2013,2020,F-C,6-9,250.0,"March 26, 1990",Norfolk State
Fabricio Oberto,2006,2011,C-F,6-10,245.0,"March 21, 1975",
Daniel Ochefu,2017,2017,C,6-11,245.0,"December 15, 1993",Villanova
Greg Oden,2009,2014,C,7-0,250.0,"January 22, 1988",Ohio State
Lamar Odom,2000,2013,F,6-10,220.0,"November 6, 1979",Rhode Island
Tim Ohlbrecht,2013,2013,C,6-11,255.0,"August 30, 1988",
Semi Ojeleye,2018,2022,F,6-6,240.0,"December 5, 1994","Duke, SMU"
Emeka Okafor,2005,2018,C-F,6-10,252.0,"September 28, 1982",UConn
Jahlil Okafor,2016,2021,C-F,6-10,270.0,"December 15, 1995",Duke
Chuma Okeke,2021,2024,F,6-6,229.0,"August 18, 1998",Auburn
Elie Okobo,2019,2020,G,6-3,190.0,"October 23, 1997",
Josh Okogie,2019,2024,G,6-4,213.0,"September 1, 1998",Georgia Tech
Onyeka Okongwu,2021,2024,F,6-8,235.0,"December 11, 2000",USC
Isaac Okoro,2021,2024,G-F,6-5,225.0,"January 26, 2001",Auburn
KZ Okpala,2020,2023,F,6-8,215.0,"April 28, 1999",Stanford
Mehmet Okur,2003,2012,C-F,6-11,249.0,"May 26, 1979",
Victor Oladipo,2014,2023,G,6-3,213.0,"May 4, 1992",Indiana
Cameron Oliver,2021,2022,F,6-8,239.0,"July 11, 1996",Nevada
Kelly Olynyk,2014,2024,C-F,6-11,240.0,"April 19, 1991",Gonzaga
Eugene Omoruyi,2022,2024,F,6-7,244.0,"February 14, 1997","Rutgers University, Oregon"
Miye Oni,2020,2022,G,6-5,206.0,"August 4, 1997",Yale
Arinze Onuaku,2014,2017,C,6-9,255.0,"July 13, 1987",Syracuse
Chinanu Onuaku,2017,2018,F-C,6-10,245.0,"November 1, 1996",Louisville
Daniel Orton,2012,2014,C-F,6-10,255.0,"August 6, 1990",Kentucky
Cedi Osman,2018,2024,F,6-7,230.0,"April 8, 1995",
Daniel Oturu,2021,2022,F-C,6-8,240.0,"September 20, 1999",Minnesota
Kelly Oubre Jr.,2016,2024,F,6-7,203.0,"December 9, 1995",Kansas
Travis Outlaw,2004,2014,F,6-9,210.0,"September 18, 1984",
Larry Owens,2011,2012,F,6-7,210.0,"January 8, 1983",Oral Roberts
Tariq Owens,2020,2020,F,6-10,205.0,"June 30, 1995","Tennessee, St. John's, Texas Tech"
Zaza Pachulia,2004,2019,C,6-11,270.0,"February 10, 1984",
Jaysean Paige,2022,2022,G,6-3,205.0,"July 30, 1994","College of Southern Idaho, Moberly Area Community College, West Virginia"
Marcus Paige,2018,2018,G,6-1,175.0,"September 11, 1993",UNC
Trayvon Palmer,2022,2022,G,6-6,200.0,"November 13, 1994","North Dakota State College of Science, Chicago State"
Kevin Pangos,2022,2022,G,6-2,179.0,"January 26, 1993",Gonzaga
Georgios Papagiannis,2017,2018,C,7-1,240.0,"July 3, 1997",
Kostas Papanikolaou,2015,2016,F,6-8,225.0,"July 31, 1990",
Jannero Pargo,2003,2015,G,6-1,175.0,"October 22, 1979",Arkansas
Jeremy Pargo,2012,2020,G,6-2,219.0,"March 17, 1986",Gonzaga
Anthony Parker,1998,2012,G,6-6,215.0,"June 19, 1975",Bradley
Jabari Parker,2015,2022,F,6-8,245.0,"March 15, 1995",Duke
Tony Parker*,2002,2019,G,6-2,185.0,"May 17, 1982",
Chandler Parsons,2012,2020,F,6-9,230.0,"October 25, 1988",Florida
Eric Paschall,2020,2022,F,6-6,255.0,"November 4, 1996","Fordham, Villanova"
Anžejs Pasečņiks,2020,2021,C,7-1,229.0,"December 20, 1995",
Lamar Patterson,2016,2017,G-F,6-5,225.0,"August 12, 1991",Pitt
Patrick Patterson,2011,2021,F,6-8,235.0,"March 14, 1989",Kentucky
Justin Patton,2018,2021,C,6-11,241.0,"June 14, 1997",Creighton
Brandon Paul,2018,2018,G,6-4,200.0,"April 30, 1991",Illinois
Chris Paul,2006,2024,G,6-0,175.0,"May 6, 1985",Wake Forest
Sasha Pavlović,2004,2013,G-F,6-8,220.0,"November 15, 1983",
Adreian Payne,2015,2018,F-C,6-10,237.0,"February 19, 1991",Michigan State
Cameron Payne,2016,2024,G,6-3,183.0,"August 8, 1994",Murray State
Elfrid Payton,2015,2022,G,6-3,195.0,"February 22, 1994",Louisiana
Gary Payton II,2017,2024,G,6-2,190.0,"December 1, 1992",Oregon State
Nikola Peković,2011,2016,C,6-11,307.0,"January 3, 1986",
Norvel Pelle,2020,2022,F-C,6-10,231.0,"February 3, 1993",
Mãozinha Pereira,2024,2024,F,6-8,177.0,"August 28, 2000",
Kendrick Perkins,2004,2018,C,6-10,270.0,"November 10, 1984",
London Perrantes,2018,2018,G,6-2,200.0,"October 3, 1994",Virginia
Reggie Perry,2021,2022,F-C,6-8,250.0,"March 21, 2000",Mississippi State
Alec Peters,2018,2018,F,6-9,232.0,"April 13, 1995",Valparaiso
Drew Peterson,2024,2024,G,6-9,205.0,"November 9, 1999","Rice University, USC"
Morris Peterson,2001,2011,F,6-7,218.0,"August 26, 1977",Michigan State
Johan Petro,2006,2013,C,7-0,247.0,"January 27, 1986",
Filip Petrušev,2024,2024,F-C,6-11,234.0,"April 15, 2000",Gonzaga
Julian Phillips,2024,2024,F,6-8,198.0,"November 5, 2003",Tennessee
Jalen Pickett,2024,2024,G,6-4,209.0,"October 22, 1999","Siena College, Penn State"
Jamorko Pickett,2022,2022,G-F,6-9,206.0,"December 24, 1997",Georgetown
Paul Pierce*,1999,2017,F-G,6-7,235.0,"October 13, 1977",Kansas
Mickaël Piétrus,2004,2013,G-F,6-6,215.0,"February 7, 1982",
Theo Pinson,2019,2023,G,6-5,212.0,"November 5, 1995",UNC
Scotty Pippen Jr.,2023,2024,G,6-1,185.0,"November 10, 2000",Vanderbilt
Dexter Pittman,2011,2014,C,6-11,308.0,"March 2, 1988",Texas
Tibor Pleiß,2016,2016,C,7-3,256.0,"November 2, 1989",
Marshall Plumlee,2017,2018,C,7-0,250.0,"July 14, 1992",Duke
Mason Plumlee,2014,2024,C-F,6-10,254.0,"March 5, 1990",Duke
Miles Plumlee,2013,2019,C-F,6-11,249.0,"September 1, 1988",Duke
Brandin Podziemski,2024,2024,G,6-5,205.0,"February 25, 2003","Illinois, Santa Clara"
Jakob Poeltl,2017,2024,C,7-0,245.0,"October 15, 1995",Utah
Vincent Poirier,2020,2021,C,7-0,235.0,"October 17, 1993",
Aleksej Pokusevski,2021,2024,F,7-0,190.0,"December 26, 2001",
Quincy Pondexter,2011,2019,G-F,6-7,230.0,"March 10, 1988",Washington
Shamorie Ponds,2020,2020,G,6-0,180.0,"June 29, 1998",St. John's
Yves Pons,2022,2022,F,6-6,215.0,"May 7, 1999",Tennessee
Jordan Poole,2020,2024,G,6-4,194.0,"June 19, 1999",Michigan
Craig Porter Jr.,2024,2024,G,6-2,186.0,"February 26, 2000","Vincennes University, Wichita State"
Jontay Porter,2021,2024,F-C,6-11,240.0,"November 15, 1999",Missouri
Kevin Porter Jr.,2020,2023,G,6-4,203.0,"May 4, 2000",USC
Michael Porter Jr.,2020,2024,F,6-10,218.0,"June 29, 1998",Missouri
Otto Porter Jr.,2014,2024,F,6-8,198.0,"June 3, 1993",Georgetown
Bobby Portis,2016,2024,F,6-10,250.0,"February 10, 1995",Arkansas
Kristaps Porziņģis,2016,2024,F-C,7-2,240.0,"August 2, 1995",
James Posey,2000,2011,F-G,6-8,215.0,"January 13, 1977",Xavier
Micah Potter,2022,2024,C,6-10,248.0,"April 6, 1998","Ohio State, Wisconsin"
Leon Powe,2007,2011,F,6-8,240.0,"January 22, 1984",California
Dwight Powell,2015,2024,F-C,6-10,240.0,"July 20, 1991",Stanford
Josh Powell,2006,2014,F,6-9,225.0,"January 25, 1983",NC State
Myles Powell,2022,2022,G,6-2,195.0,"July 7, 1997",Seton Hall
Norman Powell,2016,2024,G,6-3,215.0,"May 25, 1993",UCLA
Alex Poythress,2017,2019,F,6-9,235.0,"September 6, 1993",Kentucky
Phil Pressey,2014,2016,G,5-11,175.0,"February 17, 1991",Missouri
Jason Preston,2023,2024,G,6-4,187.0,"August 10, 1999",Ohio University
A.J. Price,2010,2015,G,6-2,181.0,"October 7, 1986",UConn
Ronnie Price,2006,2017,G,6-2,190.0,"June 21, 1983","Nicholls State, Utah Valley"
Pablo Prigioni,2013,2016,G,6-3,185.0,"May 17, 1977",
Joshua Primo,2022,2024,G,6-6,190.0,"December 24, 2002",Alabama
Taurean Prince,2017,2024,F,6-6,218.0,"March 22, 1994",Baylor
Tayshaun Prince,2003,2016,F,6-9,212.0,"February 28, 1980",Kentucky
Payton Pritchard,2021,2024,G,6-1,195.0,"January 28, 1998",Oregon
Olivier-Maxence Prosper,2024,2024,F,6-8,230.0,"July 3, 2002","Clemson, Marquette"
Joel Przybilla,2001,2013,C,7-1,255.0,"October 10, 1979",Minnesota
Jacob Pullen,2018,2018,G,6-1,200.0,"November 10, 1989",Kansas State
Rodney Purvis,2018,2018,G,6-4,205.0,"February 14, 1994",UConn
Zhou Qi,2018,2019,F-C,7-1,210.0,"January 16, 1996",
Tim Quarterman,2017,2018,G,6-6,195.0,"October 27, 1994",LSU
Trevelin Queen,2022,2024,G,6-6,190.0,"February 25, 1997","College of Marin, New Mexico Military Institute, New Mexico State"
Neemias Queta,2022,2024,C,7-0,245.0,"July 13, 1999",Utah State University
Immanuel Quickley,2021,2024,G,6-3,190.0,"June 17, 1999",Kentucky
Chris Quinn,2007,2013,G,6-2,185.0,"September 27, 1983",Notre Dame
Lester Quinones,2023,2024,G,6-5,208.0,"November 16, 2000",Memphis
Ivan Rabb,2018,2019,F,6-10,220.0,"February 4, 1997",California
Vladimir Radmanović,2002,2013,F,6-10,227.0,"November 19, 1980",
Miroslav Raduljica,2014,2015,C,7-0,250.0,"January 5, 1988",
Jahmi'us Ramsey,2021,2024,G,6-3,190.0,"June 9, 2001",Texas Tech
Chasson Randle,2017,2021,G,6-2,185.0,"February 5, 1993",Stanford
Julius Randle,2015,2024,F-C,6-8,250.0,"November 29, 1994",Kentucky
Anthony Randolph,2009,2014,F,6-10,205.0,"July 15, 1989",LSU
Shavlik Randolph,2006,2015,F,6-10,240.0,"November 24, 1983",Duke
Zach Randolph,2002,2018,F-C,6-9,250.0,"July 16, 1981",Michigan State
Xavier Rathan-Mayes,2018,2018,G,6-4,208.0,"April 29, 1994",Florida State
Theo Ratliff,1996,2011,C-F,6-10,225.0,"April 17, 1973",Wyoming
Andy Rautins,2011,2011,G,6-4,190.0,"November 2, 1986",Syracuse
Duop Reath,2024,2024,C,6-11,245.0,"June 26, 1996","Lee College, LSU"
Austin Reaves,2022,2024,G,6-5,206.0,"May 29, 1998","Wichita State, Oklahoma"
Josh Reaves,2020,2020,G,6-4,214.0,"June 4, 1997",Penn State
Michael Redd,2001,2012,G,6-6,220.0,"August 24, 1979",Ohio State
Cam Reddish,2020,2024,F,6-8,218.0,"September 1, 1999",Duke
JJ Redick,2007,2021,G,6-3,200.0,"June 24, 1984",Duke
Davon Reed,2018,2023,G,6-5,208.0,"June 11, 1995",Miami (FL)
Paul Reed,2021,2024,F,6-9,210.0,"June 14, 1999",DePaul
Willie Reed,2016,2018,F-C,6-10,220.0,"May 16, 1990",Saint Louis
Naz Reid,2020,2024,F,6-9,264.0,"August 26, 1999",LSU
Ryan Reid,2012,2012,F,6-8,232.0,"October 30, 1986",Florida State
Cameron Reynolds,2019,2021,G,6-7,225.0,"February 7, 1995",Tulane
Jared Rhoden,2023,2024,G,6-6,210.0,"August 27, 1999",Seton Hall
Glen Rice Jr.,2014,2015,G,6-6,206.0,"January 1, 1991",Georgia Tech
Nick Richards,2021,2024,F-C,7-0,245.0,"November 29, 1997",Kentucky
Jason Richardson,2002,2015,G,6-6,220.0,"January 20, 1981",Michigan State
Josh Richardson,2016,2024,G,6-5,200.0,"September 15, 1993",Tennessee
Malachi Richardson,2017,2019,G,6-6,205.0,"January 5, 1996",Syracuse
Quentin Richardson,2001,2013,G-F,6-6,223.0,"April 13, 1980",DePaul
Luke Ridnour,2004,2015,G,6-2,175.0,"February 13, 1981",Oregon
Grant Riller,2021,2021,G,6-2,190.0,"February 8, 1997",College of Charleston
Austin Rivers,2013,2023,G,6-4,200.0,"August 1, 1992",Duke
Andre Roberson,2014,2021,G-F,6-7,210.0,"December 4, 1991",Colorado
Brian Roberts,2013,2017,G,6-1,173.0,"December 3, 1985",Dayton
Devin Robinson,2018,2019,F,6-8,200.0,"March 7, 1995",Florida
Duncan Robinson,2019,2024,G-F,6-7,215.0,"April 22, 1994","Williams, Michigan"
Glenn Robinson III,2015,2021,G-F,6-6,222.0,"January 8, 1994",Michigan
Jerome Robinson,2019,2024,G,6-4,190.0,"February 22, 1997",Boston College
Justin Robinson,2020,2022,G,6-1,195.0,"October 12, 1997",Virginia Tech
Mitchell Robinson,2019,2024,C,7-0,240.0,"April 1, 1998",Western Kentucky
Nate Robinson,2006,2016,G,5-9,180.0,"May 31, 1984",Washington
Orlando Robinson,2023,2024,F,7-0,235.0,"July 10, 2000",Fresno State
Thomas Robinson,2013,2017,F,6-10,237.0,"March 17, 1991",Kansas
Jeremiah Robinson-Earl,2022,2024,F,6-9,230.0,"November 3, 2000",Villanova
Isaiah Roby,2020,2023,F,6-8,230.0,"February 3, 1998",Nebraska
David Roddy,2023,2024,F,6-4,255.0,"March 27, 2001",Colorado State
Sergio Rodríguez,2007,2017,G,6-3,176.0,"June 12, 1986",
Ryan Rollins,2023,2024,G,6-4,180.0,"July 3, 2002",Toledo
Rajon Rondo,2007,2022,G,6-1,180.0,"February 22, 1986",Kentucky
Derrick Rose,2009,2024,G,6-3,200.0,"October 4, 1988",Memphis
Quinton Ross,2005,2011,G,6-6,195.0,"April 30, 1981",SMU
Terrence Ross,2013,2023,F-G,6-6,206.0,"February 5, 1991",Washington
Brandon Roy,2007,2013,G,6-6,215.0,"July 23, 1984",Washington
Terry Rozier,2016,2024,G,6-1,190.0,"March 17, 1994",Louisville
Ricky Rubio,2012,2023,G,6-2,190.0,"October 21, 1990",
Damjan Rudež,2015,2017,F,6-10,228.0,"June 17, 1986",
Rayan Rupert,2024,2024,G,6-6,205.0,"May 31, 2004",
Brandon Rush,2009,2017,G-F,6-6,220.0,"July 7, 1985",Kansas
D'Angelo Russell,2016,2024,G,6-3,193.0,"February 23, 1996",Ohio State
Walker Russell,2012,2012,G,6-0,170.0,"October 6, 1982",Jacksonville State University
Matt Ryan,2022,2024,F,6-6,215.0,"April 17, 1997","Notre Dame, Vanderbilt, Chattanooga"
Domantas Sabonis,2017,2024,C-F,6-10,240.0,"May 3, 1996",Gonzaga
Robert Sacre,2013,2016,C,7-0,270.0,"June 6, 1989",Gonzaga
John Salmons,2003,2015,G,6-7,210.0,"December 12, 1979",Miami (FL)
Luka Šamanić,2020,2024,F,6-10,227.0,"January 9, 2000",
Brandon Sampson,2019,2019,G,6-5,184.0,"May 1, 1997",LSU
JaKarr Sampson,2015,2021,G-F,6-7,214.0,"March 20, 1993",St. John's
Jermaine Samuels,2024,2024,F,6-7,230.0,"November 13, 1998",Villanova
Samardo Samuels,2011,2013,F,6-9,260.0,"January 9, 1989",Louisville
Larry Sanders,2011,2017,C-F,6-11,235.0,"November 21, 1988",VCU
Adama Sanogo,2024,2024,F,6-9,245.0,"February 12, 2002",UConn
Gui Santos,2024,2024,F,6-8,209.0,"June 22, 2002",
Dario Šarić,2017,2024,F-C,6-10,225.0,"April 8, 1994",
Olivier Sarr,2022,2024,C,7-0,237.0,"February 20, 1999","Wake Forest, Kentucky"
Marcus Sasser,2024,2024,G,6-2,195.0,"September 21, 2000",Houston
Tomáš Satoranský,2017,2022,G,6-7,210.0,"October 30, 1991",
Brian Scalabrine,2002,2012,F,6-9,241.0,"March 18, 1978",USC
Jordan Schakel,2022,2023,F,6-6,200.0,"June 13, 1998",San Diego State
Admiral Schofield,2020,2024,G-F,6-5,241.0,"March 30, 1997",Tennessee
Dennis Schröder,2014,2024,G,6-1,172.0,"September 15, 1993",
Luis Scola,2008,2017,F,6-9,240.0,"April 30, 1980",
Mike Scott,2013,2021,F,6-7,237.0,"July 16, 1988",Virginia
Tre Scott,2022,2022,F,6-8,225.0,"November 25, 1996",Cincinnati
Jay Scrubb,2021,2023,G-F,6-5,220.0,"September 1, 2000",John A. Logan College
Dereon Seabron,2023,2024,G,6-7,180.0,"May 26, 2000",NC State
Thabo Sefolosha,2007,2020,G-F,6-6,215.0,"May 2, 1984",
Josh Selby,2012,2013,G,6-2,183.0,"March 27, 1991",Kansas
Wayne Selden,2017,2022,G-F,6-5,230.0,"September 30, 1994",Kansas
Alperen Sengun,2022,2024,C-F,6-11,235.0,"July 25, 2002",
Brice Sensabaugh,2024,2024,F,6-6,235.0,"October 30, 2003",Ohio State
Kevin Séraphin,2011,2017,F,6-9,285.0,"December 7, 1989",
Ramon Sessions,2008,2018,G,6-3,190.0,"April 11, 1986",Nevada
Collin Sexton,2019,2024,G,6-3,190.0,"January 4, 1999",Alabama
Mustafa Shakur,2011,2014,G,6-3,190.0,"August 18, 1984",Arizona
Landry Shamet,2019,2024,G,6-4,190.0,"March 13, 1997",Wichita State
Day'Ron Sharpe,2022,2024,C,6-11,265.0,"November 6, 2001",UNC
Shaedon Sharpe,2023,2024,G,6-6,200.0,"May 30, 2003",Kentucky
Marial Shayok,2020,2020,G,6-5,198.0,"July 26, 1995","Virginia, Iowa State"
Tornike Shengelia,2013,2014,F,6-9,217.0,"October 5, 1991",
Ben Sheppard,2024,2024,G,6-6,190.0,"July 16, 2001",Belmont
Iman Shumpert,2012,2021,G,6-5,215.0,"June 26, 1990",Georgia Tech
Alexey Shved,2013,2015,G,6-6,190.0,"December 16, 1988",
Pascal Siakam,2017,2024,F-C,6-8,230.0,"April 2, 1994",New Mexico State
Jordan Sibert,2019,2019,G,6-4,187.0,"August 1, 1992","Ohio State, Dayton"
Xavier Silas,2012,2018,G,6-5,205.0,"January 22, 1988","Colorado, Northern Illinois"
Garret Siler,2011,2011,C,6-11,305.0,"October 25, 1986",Augusta State University
Chris Silva,2020,2023,F,6-8,234.0,"September 19, 1996",South Carolina
Ben Simmons,2018,2024,G-F,6-10,240.0,"July 20, 1996",LSU
Bobby Simmons,2002,2012,G-F,6-7,210.0,"June 2, 1980",DePaul
Jonathon Simmons,2016,2019,G-F,6-6,195.0,"September 14, 1989",Houston
Kobi Simmons,2018,2024,G,6-5,166.0,"July 4, 1997",Arizona
Marko Simonovic,2022,2023,C,6-11,216.0,"October 15, 1999",
Anfernee Simons,2019,2024,G,6-3,181.0,"June 8, 1999",
Zavier Simpson,2022,2024,G,6-0,190.0,"February 11, 1997",Michigan
Henry Sims,2013,2016,C,6-10,248.0,"March 27, 1990",Georgetown
Jericho Sims,2022,2024,F,6-10,245.0,"October 20, 1998",Texas
Kyle Singler,2013,2018,F,6-8,228.0,"May 4, 1988",Duke
Chris Singleton,2012,2014,F,6-8,230.0,"November 21, 1989",Florida State
James Singleton,2006,2012,F,6-8,216.0,"July 20, 1981",Murray State
Deividas Sirvydis,2021,2022,G-F,6-8,190.0,"June 10, 2000",
Peyton Siva,2014,2014,G,6-0,185.0,"October 24, 1990",Louisville
Dmytro Skapintsev,2024,2024,C,7-1,260.0,"May 12, 1998",Cal State Northridge
Brian Skinner,1999,2012,F,6-9,255.0,"May 19, 1976",Baylor
Jalen Slawson,2024,2024,F,6-7,215.0,"October 22, 1999",Furman University
Donald Sloan,2012,2016,G,6-3,205.0,"January 15, 1988",Texas A&M
Alen Smailagić,2020,2021,F,6-10,215.0,"August 18, 2000",
